uf,tipo_crime,ano,mes,quantidade_ocorrencias
Acre,Estupro,2022,1,31
Acre,Furto de veiculo,2022,1,50
Acre,Homicidio doloso,2022,1,10
Acre,Lesao corporal seguida de morte,2022,1,1
Acre,Roubo a instituicao financeira,2022,1,0
Acre,Roubo de carga,2022,1,0
Acre,Roubo de veiculo,2022,1,72
Acre,Roubo seguido de morte (latrocinio),2022,1,0
Acre,Tentativa de homicidio,2022,1,22
Acre,Estupro,2022,2,34
Acre,Furto de veiculo,2022,2,55
Acre,Homicidio doloso,2022,2,10
Acre,Lesao corporal seguida de morte,2022,2,0
Acre,Roubo a instituicao financeira,2022,2,0
Acre,Roubo de carga,2022,2,0
Acre,Roubo de veiculo,2022,2,48
Acre,Roubo seguido de morte (latrocinio),2022,2,2
Acre,Tentativa de homicidio,2022,2,18
Acre,Estupro,2022,3,57
Acre,Furto de veiculo,2022,3,44
Acre,Homicidio doloso,2022,3,21
Acre,Lesao corporal seguida de morte,2022,3,0
Acre,Roubo a instituicao financeira,2022,3,0
Acre,Roubo de carga,2022,3,0
Acre,Roubo de veiculo,2022,3,68
Acre,Roubo seguido de morte (latrocinio),2022,3,0
Acre,Tentativa de homicidio,2022,3,37
Acre,Estupro,2022,4,28
Acre,Furto de veiculo,2022,4,40
Acre,Homicidio doloso,2022,4,21
Acre,Roubo de veiculo,2022,4,52
Acre,Tentativa de homicidio,2022,4,27
Acre,Estupro,2022,5,45
Acre,Furto de veiculo,2022,5,29
Acre,Homicidio doloso,2022,5,23
Acre,Roubo de veiculo,2022,5,61
Acre,Tentativa de homicidio,2022,5,31
Acre,Estupro,2022,6,45
Acre,Furto de veiculo,2022,6,50
Acre,Homicidio doloso,2022,6,12
Acre,Roubo de veiculo,2022,6,50
Acre,Roubo seguido de morte (latrocinio),2022,6,1
Acre,Tentativa de homicidio,2022,6,22
Acre,Estupro,2022,7,62
Acre,Furto de veiculo,2022,7,44
Acre,Homicidio doloso,2022,7,20
Acre,Roubo de veiculo,2022,7,49
Acre,Tentativa de homicidio,2022,7,39
Acre,Estupro,2022,8,47
Acre,Furto de veiculo,2022,8,34
Acre,Homicidio doloso,2022,8,9
Acre,Roubo de veiculo,2022,8,47
Acre,Roubo seguido de morte (latrocinio),2022,8,1
Acre,Tentativa de homicidio,2022,8,32
Acre,Estupro,2022,9,59
Acre,Furto de veiculo,2022,9,33
Acre,Homicidio doloso,2022,9,16
Acre,Roubo de veiculo,2022,9,57
Acre,Roubo seguido de morte (latrocinio),2022,9,1
Acre,Tentativa de homicidio,2022,9,26
Acre,Estupro,2022,10,49
Acre,Furto de veiculo,2022,10,41
Acre,Homicidio doloso,2022,10,14
Acre,Roubo de veiculo,2022,10,52
Acre,Tentativa de homicidio,2022,10,41
Acre,Estupro,2022,11,53
Acre,Furto de veiculo,2022,11,41
