uf,tipo_crime,ano,mes,sexo_vitima,quantidade_vitimas
Acre,Homicidio doloso,2022,1,Feminino,2
Acre,Homicidio doloso,2022,1,Masculino,8
Acre,Homicidio doloso,2022,1,Nao informado,0
Acre,Homicidio doloso,2022,2,Feminino,0
Acre,Homicidio doloso,2022,2,Masculino,10
Acre,Homicidio doloso,2022,2,Nao informado,0
Acre,Homicidio doloso,2022,3,Feminino,2
Acre,Homicidio doloso,2022,3,Masculino,19
Acre,Homicidio doloso,2022,3,Nao informado,0
Acre,Homicidio doloso,2022,4,Feminino,2
Acre,Homicidio doloso,2022,4,Masculino,19
Acre,Homicidio doloso,2022,5,Feminino,6
Acre,Homicidio doloso,2022,5,Masculino,17
Acre,Homicidio doloso,2022,6,Feminino,3
Acre,Homicidio doloso,2022,6,Masculino,9
Acre,Homicidio doloso,2022,7,Feminino,2
Acre,Homicidio doloso,2022,7,Masculino,18
Acre,Homicidio doloso,2022,8,Masculino,9
Acre,Homicidio doloso,2022,9,Feminino,1
Acre,Homicidio doloso,2022,9,Masculino,15
Acre,Homicidio doloso,2022,10,Feminino,1
Acre,Homicidio doloso,2022,10,Masculino,13
Acre,Homicidio doloso,2022,11,Feminino,3
Acre,Homicidio doloso,2022,11,Masculino,26
Acre,Homicidio doloso,2022,12,Feminino,1
Acre,Homicidio doloso,2022,12,Masculino,21
Acre,Lesao corporal seguida de morte,2022,1,Feminino,0
Acre,Lesao corporal seguida de morte,2022,1,Masculino,1
Acre,Lesao corporal seguida de morte,2022,1,Nao informado,0
Acre,Lesao corporal seguida de morte,2022,2,Feminino,0
Acre,Lesao corporal seguida de morte,2022,2,Masculino,0
Acre,Lesao corporal seguida de morte,2022,2,Nao informado,0
Acre,Lesao corporal seguida de morte,2022,3,Feminino,0
Acre,Lesao corporal seguida de morte,2022,3,Masculino,0
Acre,Lesao corporal seguida de morte,2022,3,Nao informado,0
Acre,Lesao corporal seguida de morte,2022,11,Masculino,2
Acre,Lesao corporal seguida de morte,2022,12,Masculino,1
Acre,Roubo seguido de morte (latrocinio),2022,1,Feminino,0
Acre,Roubo seguido de morte (latrocinio),2022,1,Masculino,0
Acre,Roubo seguido de morte (latrocinio),2022,1,Nao informado,0
Acre,Roubo seguido de morte (latrocinio),2022,2,Feminino,1
Acre,Roubo seguido de morte (latrocinio),2022,2,Masculino,1
Acre,Roubo seguido de morte (latrocinio),2022,2,Nao informado,0
Acre,Roubo seguido de morte (latrocinio),2022,3,Feminino,0
Acre,Roubo seguido de morte (latrocinio),2022,3,Masculino,0
Acre,Roubo seguido de morte (latrocinio),2022,3,Nao informado,0
Acre,Roubo seguido de morte (latrocinio),2022,6,Masculino,1
Acre,Roubo seguido de morte (latrocinio),2022,8,Masculino,1
Acre,Roubo seguido de morte (latrocinio),2022,9,Masculino,1
Acre,Roubo seguido de morte (latrocinio),2022,11,Masculino,1
Alagoas,Homicidio doloso,2022,1,Feminino,11
Alagoas,Homicidio doloso,2022,1,Masculino,91
Alagoas,Homicidio doloso,2022,1,Nao informado,0
Alagoas,Homicidio doloso,2022,2,Feminino,0
Alagoas,Homicidio doloso,2022,2,Masculino,85
Alagoas,Homicidio doloso,2022,2,Nao informado,0
Alagoas,Homicidio doloso,2022,3,Feminino,8
Alagoas,Homicidio doloso,2022,3,Masculino,87
Alagoas,Homicidio doloso,2022,3,Nao informado,0
Alagoas,Homicidio doloso,2022,4,Feminino,4
Alagoas,Homicidio doloso,2022,4,Masculino,103
Alagoas,Homicidio doloso,2022,4,Nao informado,10
Alagoas,Homicidio doloso,2022,5,Feminino,3
Alagoas,Homicidio doloso,2022,5,Masculino,87
Alagoas,Homicidio doloso,2022,6,Feminino,6
Alagoas,Homicidio doloso,2022,6,Masculino,80
Alagoas,Homicidio doloso,2022,7,Feminino,9
Alagoas,Homicidio doloso,2022,7,Masculino,83
Alagoas,Homicidio doloso,2022,7,Nao informado,0
Alagoas,Homicidio doloso,2022,8,Feminino,1
Alagoas,Homicidio doloso,2022,8,Masculino,63
Alagoas,Homicidio doloso,2022,8,Nao informado,0
Alagoas,Homicidio doloso,2022,9,Feminino,2
Alagoas,Homicidio doloso,2022,9,Masculino,94
Alagoas,Homicidio doloso,2022,10,Feminino,10
Alagoas,Homicidio doloso,2022,10,Masculino,92
Alagoas,Homicidio doloso,2022,11,Feminino,6
Alagoas,Homicidio doloso,2022,11,Masculino,81
Alagoas,Homicidio doloso,2022,12,Feminino,11
Alagoas,Homicidio doloso,2022,12,Masculino,95
Alagoas,Lesao corporal seguida de morte,2022,1,Feminino,0
Alagoas,Lesao corporal seguida de morte,2022,1,Masculino,0
Alagoas,Lesao corporal seguida de morte,2022,1,Nao informado,0
Alagoas,Lesao corporal seguida de morte,2022,2,Feminino,0
Alagoas,Lesao corporal seguida de morte,2022,2,Masculino,0
Alagoas,Lesao corporal seguida de morte,2022,2,Nao informado,0
Alagoas,Lesao corporal seguida de morte,2022,3,Feminino,0
Alagoas,Lesao corporal seguida de morte,2022,3,Masculino,1
Alagoas,Lesao corporal seguida de morte,2022,3,Nao informado,0
Alagoas,Lesao corporal seguida de morte,2022,5,Masculino,1
Alagoas,Lesao corporal seguida de morte,2022,7,Feminino,0
Alagoas,Lesao corporal seguida de morte,2022,7,Masculino,0
Alagoas,Lesao corporal seguida de morte,2022,7,Nao informado,0
Alagoas,Lesao corporal seguida de morte,2022,8,Feminino,0
Alagoas,Lesao corporal seguida de morte,2022,8,Masculino,2
Alagoas,Lesao corporal seguida de morte,2022,8,Nao informado,0
Alagoas,Roubo seguido de morte (latrocinio),2022,1,Feminino,0
Alagoas,Roubo seguido de morte (latrocinio),2022,1,Masculino,1
Alagoas,Roubo seguido de morte (latrocinio),2022,1,Nao informado,0
Alagoas,Roubo seguido de morte (latrocinio),2022,2,Feminino,0
Alagoas,Roubo seguido de morte (latrocinio),2022,2,Masculino,2
Alagoas,Roubo seguido de morte (latrocinio),2022,2,Nao informado,0
Alagoas,Roubo seguido de morte (latrocinio),2022,3,Feminino,0
Alagoas,Roubo seguido de morte (latrocinio),2022,3,Masculino,2
Alagoas,Roubo seguido de morte (latrocinio),2022,3,Nao informado,0
Alagoas,Roubo seguido de morte (latrocinio),2022,4,Masculino,4
Alagoas,Roubo seguido de morte (latrocinio),2022,5,Masculino,3
Alagoas,Roubo seguido de morte (latrocinio),2022,6,Masculino,1
Alagoas,Roubo seguido de morte (latrocinio),2022,7,Feminino,0
Alagoas,Roubo seguido de morte (latrocinio),2022,7,Masculino,3
Alagoas,Roubo seguido de morte (latrocinio),2022,7,Nao informado,0
Alagoas,Roubo seguido de morte (latrocinio),2022,8,Feminino,1
Alagoas,Roubo seguido de morte (latrocinio),2022,8,Masculino,1
Alagoas,Roubo seguido de morte (latrocinio),2022,8,Nao informado,0
Alagoas,Roubo seguido de morte (latrocinio),2022,9,Masculino,1
Alagoas,Roubo seguido de morte (latrocinio),2022,10,Masculino,2
Amapa,Homicidio doloso,2022,1,Feminino,0
Amapa,Homicidio doloso,2022,1,Masculino,16
Amapa,Homicidio doloso,2022,1,Nao informado,0
Amapa,Homicidio doloso,2022,2,Feminino,0
Amapa,Homicidio doloso,2022,2,Masculino,18
Amapa,Homicidio doloso,2022,2,Nao informado,2
Amapa,Homicidio doloso,2022,3,Feminino,1
Amapa,Homicidio doloso,2022,3,Masculino,11
Amapa,Homicidio doloso,2022,3,Nao informado,0
Amapa,Homicidio doloso,2022,4,Feminino,1
Amapa,Homicidio doloso,2022,4,Masculino,14
Amapa,Homicidio doloso,2022,5,Masculino,13
Amapa,Homicidio doloso,2022,6,Masculino,13
Amapa,Homicidio doloso,2022,7,Masculino,13
Amapa,Homicidio doloso,2022,8,Feminino,4
Amapa,Homicidio doloso,2022,8,Masculino,18
Amapa,Homicidio doloso,2022,8,Nao informado,0
Amapa,Homicidio doloso,2022,9,Feminino,2
Amapa,Homicidio doloso,2022,9,Masculino,7
Amapa,Homicidio doloso,2022,10,Feminino,1
Amapa,Homicidio doloso,2022,10,Masculino,13
