uf,tipo_crime,ano,mes,sexo_vitima,quantidade_vitimas
Alagoas,Roubo seguido de morte (latrocínio),2022,1,Feminino,0
Alagoas,Roubo seguido de morte (latrocínio),2022,1,Masculino,1
Alagoas,Roubo seguido de morte (latrocínio),2022,1,Nao informado,0
Alagoas,Roubo seguido de morte (latrocínio),2022,2,Feminino,0
Alagoas,Roubo seguido de morte (latrocínio),2022,2,Masculino,2
Alagoas,Roubo seguido de morte (latrocínio),2022,2,Nao informado,0
Alagoas,Roubo seguido de morte (latrocínio),2022,3,Feminino,0
Alagoas,Roubo seguido de morte (latrocínio),2022,3,Masculino,2
Alagoas,Roubo seguido de morte (latrocínio),2022,3,Nao informado,0
Alagoas,Roubo seguido de morte (latrocínio),2022,4,Masculino,4
Alagoas,Roubo seguido de morte (latrocínio),2022,5,Masculino,3
Alagoas,Roubo seguido de morte (latrocínio),2022,6,Masculino,1
Alagoas,Roubo seguido de morte (latrocínio),2022,7,Feminino,0
Alagoas,Roubo seguido de morte (latrocínio),2022,7,Masculino,3
Alagoas,Roubo seguido de morte (latrocínio),2022,7,Nao informado,0
Alagoas,Roubo seguido de morte (latrocínio),2022,8,Feminino,1
Alagoas,Roubo seguido de morte (latrocínio),2022,8,Masculino,1
Alagoas,Roubo seguido de morte (latrocínio),2022,8,Nao informado,0
Alagoas,Roubo seguido de morte (latrocínio),2022,9,Masculino,1
Alagoas,Roubo seguido de morte (latrocínio),2022,10,Masculino,2
Amapá,Homicídio doloso,2022,1,Feminino,0
Amapá,Homicídio doloso,2022,1,Masculino,16
Amapá,Homicídio doloso,2022,1,Nao informado,0
Amapá,Homicídio doloso,2022,2,Feminino,0
Amapá,Homicídio doloso,2022,2,Masculino,18
Amapá,Homicídio doloso,2022,2,Nao informado,2
Amapá,Homicídio doloso,2022,3,Feminino,1
Amapá,Homicídio doloso,2022,3,Masculino,11
Amapá,Homicídio doloso,2022,3,Nao informado,0
Amapá,Homicídio doloso,2022,4,Feminino,1
Amapá,Homicídio doloso,2022,4,Masculino,14
Amapá,Homicídio doloso,2022,5,Masculino,13
Amapá,Homicídio doloso,2022,6,Masculino,13
Amapá,Homicídio doloso,2022,7,Masculino,13
Amapá,Homicídio doloso,2022,8,Feminino,4
Amapá,Homicídio doloso,2022,8,Masculino,18
Amapá,Homicídio doloso,2022,8,Nao informado,0
Amapá,Homicídio doloso,2022,9,Feminino,2
Amapá,Homicídio doloso,2022,9,Masculino,7
Amapá,Homicídio doloso,2022,10,Feminino,1
Amapá,Homicídio doloso,2022,10,Masculino,13
Amapá,Homicídio doloso,2022,11,Feminino,1
Amapá,Homicídio doloso,2022,11,Masculino,20
Amapá,Homicídio doloso,2022,12,Feminino,3
Amapá,Homicídio doloso,2022,12,Masculino,23
Amapá,Homicídio doloso,2022,12,Nao informado,0
Amapá,Lesão corporal seguida de morte,2022,1,Feminino,0
Amapá,Lesão corporal seguida de morte,2022,1,Masculino,0
Amapá,Lesão corporal seguida de morte,2022,1,Nao informado,0
Amapá,Lesão corporal seguida de morte,2022,2,Feminino,0
Amapá,Lesão corporal seguida de morte,2022,2,Masculino,0
Amapá,Lesão corporal seguida de morte,2022,2,Nao informado,0
Amapá,Lesão corporal seguida de morte,2022,3,Feminino,0
Amapá,Lesão corporal seguida de morte,2022,3,Masculino,1
Amapá,Lesão corporal seguida de morte,2022,3,Nao informado,0
Amapá,Lesão corporal seguida de morte,2022,5,Masculino,2
Amapá,Lesão corporal seguida de morte,2022,6,Masculino,2
Amapá,Lesão corporal seguida de morte,2022,7,Masculino,2
Amapá,Lesão corporal seguida de morte,2022,8,Masculino,1
Amapá,Lesão corporal seguida de morte,2022,9,Masculino,1
Amapá,Lesão corporal seguida de morte,2022,10,Feminino,1
Amapá,Lesão corporal seguida de morte,2022,11,Masculino,2
Amapá,Lesão corporal seguida de morte,2022,12,Masculino,2
Amapá,Roubo seguido de morte (latrocínio),2022,1,Feminino,0
Amapá,Roubo seguido de morte (latrocínio),2022,1,Masculino,7
Amapá,Roubo seguido de morte (latrocínio),2022,1,Nao informado,0
Amapá,Roubo seguido de morte (latrocínio),2022,2,Feminino,0
Amapá,Roubo seguido de morte (latrocínio),2022,2,Masculino,2
Amapá,Roubo seguido de morte (latrocínio),2022,2,Nao informado,0
Amapá,Roubo seguido de morte (latrocínio),2022,3,Feminino,0
Amapá,Roubo seguido de morte (latrocínio),2022,3,Masculino,1
Amapá,Roubo seguido de morte (latrocínio),2022,3,Nao informado,0
Amapá,Roubo seguido de morte (latrocínio),2022,4,Masculino,2
Amapá,Roubo seguido de morte (latrocínio),2022,5,Masculino,2
Amapá,Roubo seguido de morte (latrocínio),2022,6,Masculino,3
Amapá,Roubo seguido de morte (latrocínio),2022,7,Masculino,1
Amapá,Roubo seguido de morte (latrocínio),2022,8,Masculino,1
Amapá,Roubo seguido de morte (latrocínio),2022,9,Masculino,2
Amapá,Roubo seguido de morte (latrocínio),2022,12,Feminino,0
Amapá,Roubo seguido de morte (latrocínio),2022,12,Masculino,3
Amazonas,Homicídio doloso,2022,1,Feminino,3
Amazonas,Homicídio doloso,2022,1,Masculino,93
Amazonas,Homicídio doloso,2022,1,Nao informado,1
Amazonas,Homicídio doloso,2022,2,Feminino,8
Amazonas,Homicídio doloso,2022,2,Masculino,85
Amazonas,Homicídio doloso,2022,2,Nao informado,0
Amazonas,Homicídio doloso,2022,3,Feminino,3
Amazonas,Homicídio doloso,2022,3,Masculino,96
Amazonas,Homicídio doloso,2022,3,Nao informado,0
Amazonas,Homicídio doloso,2022,4,Feminino,8
Amazonas,Homicídio doloso,2022,4,Masculino,107
Amazonas,Homicídio doloso,2022,4,Nao informado,1
Amazonas,Homicídio doloso,2022,5,Feminino,6
Amazonas,Homicídio doloso,2022,5,Masculino,127
Amazonas,Homicídio doloso,2022,5,Nao informado,0
Amazonas,Homicídio doloso,2022,6,Feminino,3
Amazonas,Homicídio doloso,2022,6,Masculino,94
Amazonas,Homicídio doloso,2022,6,Nao informado,0
Amazonas,Homicídio doloso,2022,7,Feminino,3
Amazonas,Homicídio doloso,2022,7,Masculino,102
Amazonas,Homicídio doloso,2022,7,Nao informado,0
Amazonas,Homicídio doloso,2022,8,Feminino,6
Amazonas,Homicídio doloso,2022,8,Masculino,104
Amazonas,Homicídio doloso,2022,8,Nao informado,0
Amazonas,Homicídio doloso,2022,9,Feminino,8
Amazonas,Homicídio doloso,2022,9,Masculino,110
Amazonas,Homicídio doloso,2022,9,Nao informado,0
Amazonas,Homicídio doloso,2022,10,Feminino,5
Amazonas,Homicídio doloso,2022,10,Masculino,120
Amazonas,Homicídio doloso,2022,10,Nao informado,1
Amazonas,Homicídio doloso,2022,11,Feminino,8
Amazonas,Homicídio doloso,2022,11,Masculino,101
Amazonas,Homicídio doloso,2022,11,Nao informado,0
Amazonas,Homicídio doloso,2022,12,Feminino,6
Amazonas,Homicídio doloso,2022,12,Masculino,110
Amazonas,Homicídio doloso,2022,12,Nao informado,0
Amazonas,Lesão corporal seguida de morte,2022,1,Feminino,0
Amazonas,Lesão corporal seguida de morte,2022,1,Masculino,1
Amazonas,Lesão corporal seguida de morte,2022,1,Nao informado,0
Amazonas,Lesão corporal seguida de morte,2022,2,Feminino,0
Amazonas,Lesão corporal seguida de morte,2022,2,Masculino,2
Amazonas,Lesão corporal seguida de morte,2022,2,Nao informado,0
Amazonas,Lesão corporal seguida de morte,2022,3,Feminino,0
Amazonas,Lesão corporal seguida de morte,2022,3,Masculino,5
Amazonas,Lesão corporal seguida de morte,2022,3,Nao informado,0
Amazonas,Lesão corporal seguida de morte,2022,4,Feminino,4
Amazonas,Lesão corporal seguida de morte,2022,4,Nao informado,1
Amazonas,Lesão corporal seguida de morte,2022,5,Feminino,0
Amazonas,Lesão corporal seguida de morte,2022,5,Masculino,2
Amazonas,Lesão corporal seguida de morte,2022,5,Nao informado,0
Amazonas,Lesão corporal seguida de morte,2022,6,Feminino,0
Amazonas,Lesão corporal seguida de morte,2022,6,Masculino,0
Amazonas,Lesão corporal seguida de morte,2022,6,Nao informado,0
Amazonas,Lesão corporal seguida de morte,2022,7,Feminino,0
Amazonas,Lesão corporal seguida de morte,2022,7,Masculino,2
Amazonas,Lesão corporal seguida de morte,2022,7,Nao informado,0
Amazonas,Lesão corporal seguida de morte,2022,8,Feminino,0
Amazonas,Lesão corporal seguida de morte,2022,8,Masculino,1
Amazonas,Lesão corporal seguida de morte,2022,8,Nao informado,0
Amazonas,Lesão corporal seguida de morte,2022,9,Feminino,0
Amazonas,Lesão corporal seguida de morte,2022,9,Masculino,4
Amazonas,Lesão corporal seguida de morte,2022,9,Nao informado,0
Amazonas,Lesão corporal seguida de morte,2022,10,Feminino,0
Amazonas,Lesão corporal seguida de morte,2022,10,Masculino,5
Amazonas,Lesão corporal seguida de morte,2022,10,Nao informado,0
Amazonas,Lesão corporal seguida de morte,2022,11,Feminino,0
Amazonas,Lesão corporal seguida de morte,2022,11,Masculino,5
Amazonas,Lesão corporal seguida de morte,2022,11,Nao informado,0
Amazonas,Lesão corporal seguida de morte,2022,12,Feminino,0
Amazonas,Lesão corporal seguida de morte,2022,12,Masculino,2
Amazonas,Lesão corporal seguida de morte,2022,12,Nao informado,0
Amazonas,Roubo seguido de morte (latrocínio),2022,1,Feminino,1
Amazonas,Roubo seguido de morte (latrocínio),2022,1,Masculino,4
Amazonas,Roubo seguido de morte (latrocínio),2022,1,Nao informado,0
Amazonas,Roubo seguido de morte (latrocínio),2022,2,Feminino,1
Amazonas,Roubo seguido de morte (latrocínio),2022,2,Masculino,4
Amazonas,Roubo seguido de morte (latrocínio),2022,2,Nao informado,0
Amazonas,Roubo seguido de morte (latrocínio),2022,3,Feminino,0
Amazonas,Roubo seguido de morte (latrocínio),2022,3,Masculino,5
Amazonas,Roubo seguido de morte (latrocínio),2022,3,Nao informado,0
Amazonas,Roubo seguido de morte (latrocínio),2022,4,Feminino,1
Amazonas,Roubo seguido de morte (latrocínio),2022,4,Masculino,3
Amazonas,Roubo seguido de morte (latrocínio),2022,5,Feminino,1
Amazonas,Roubo seguido de morte (latrocínio),2022,5,Masculino,6
Amazonas,Roubo seguido de morte (latrocínio),2022,5,Nao informado,0
Amazonas,Roubo seguido de morte (latrocínio),2022,6,Feminino,0
Amazonas,Roubo seguido de morte (latrocínio),2022,6,Masculino,4
Amazonas,Roubo seguido de morte (latrocínio),2022,6,Nao informado,0
Amazonas,Roubo seguido de morte (latrocínio),2022,7,Feminino,0
Amazonas,Roubo seguido de morte (latrocínio),2022,7,Masculino,6
Amazonas,Roubo seguido de morte (latrocínio),2022,7,Nao informado,0
Amazonas,Roubo seguido de morte (latrocínio),2022,8,Feminino,0
Amazonas,Roubo seguido de morte (latrocínio),2022,8,Masculino,3
Amazonas,Roubo seguido de morte (latrocínio),2022,8,Nao informado,0
Amazonas,Roubo seguido de morte (latrocínio),2022,9,Feminino,0
Amazonas,Roubo seguido de morte (latrocínio),2022,9,Masculino,2
Amazonas,Roubo seguido de morte (latrocínio),2022,9,Nao informado,0
Amazonas,Roubo seguido de morte (latrocínio),2022,10,Feminino,1
Amazonas,Roubo seguido de morte (latrocínio),2022,10,Masculino,4
Amazonas,Roubo seguido de morte (latrocínio),2022,10,Nao informado,0
Amazonas,Roubo seguido de morte (latrocínio),2022,11,Feminino,0
Amazonas,Roubo seguido de morte (latrocínio),2022,11,Masculino,5
Amazonas,Roubo seguido de morte (latrocínio),2022,11,Nao informado,0
Amazonas,Roubo seguido de morte (latrocínio),2022,12,Feminino,0
Amazonas,Roubo seguido de morte (latrocínio),2022,12,Masculino,5
Amazonas,Roubo seguido de morte (latrocínio),2022,12,Nao informado,0
Bahia,Homicídio doloso,2022,1,Feminino,39
Bahia,Homicídio doloso,2022,1,Masculino,359
Bahia,Homicídio doloso,2022,1,Nao informado,0
Bahia,Homicídio doloso,2022,2,Feminino,27
Bahia,Homicídio doloso,2022,2,Masculino,393
Bahia,Homicídio doloso,2022,2,Nao informado,0
Bahia,Homicídio doloso,2022,3,Feminino,25
Bahia,Homicídio doloso,2022,3,Masculino,463
Bahia,Homicídio doloso,2022,3,Nao informado,0
Bahia,Homicídio doloso,2022,4,Feminino,34
Bahia,Homicídio doloso,2022,4,Masculino,396
Bahia,Homicídio doloso,2022,4,Nao informado,2
Bahia,Homicídio doloso,2022,5,Feminino,46
Bahia,Homicídio doloso,2022,5,Masculino,412
Bahia,Homicídio doloso,2022,5,Nao informado,0
Bahia,Homicídio doloso,2022,6,Feminino,27
Bahia,Homicídio doloso,2022,6,Masculino,356
Bahia,Homicídio doloso,2022,6,Nao informado,0
Bahia,Homicídio doloso,2022,7,Feminino,31
Bahia,Homicídio doloso,2022,7,Masculino,370
Bahia,Homicídio doloso,2022,7,Nao informado,0
Bahia,Homicídio doloso,2022,8,Feminino,40
Bahia,Homicídio doloso,2022,8,Masculino,330
Bahia,Homicídio doloso,2022,8,Nao informado,0
Bahia,Homicídio doloso,2022,9,Feminino,23
Bahia,Homicídio doloso,2022,9,Masculino,366
Bahia,Homicídio doloso,2022,9,Nao informado,0
Bahia,Homicídio doloso,2022,10,Feminino,35
Bahia,Homicídio doloso,2022,10,Masculino,418
Bahia,Homicídio doloso,2022,10,Nao informado,1
Bahia,Homicídio doloso,2022,11,Feminino,27
Bahia,Homicídio doloso,2022,11,Masculino,383
Bahia,Homicídio doloso,2022,11,Nao informado,0
Bahia,Homicídio doloso,2022,12,Feminino,42
Bahia,Homicídio doloso,2022,12,Masculino,384
Bahia,Homicídio doloso,2022,12,Nao informado,1
Bahia,Lesão corporal seguida de morte,2022,1,Feminino,3
Bahia,Lesão corporal seguida de morte,2022,1,Masculino,1
Bahia,Lesão corporal seguida de morte,2022,1,Nao informado,0
Bahia,Lesão corporal seguida de morte,2022,2,Feminino,0
Bahia,Lesão corporal seguida de morte,2022,2,Masculino,4
Bahia,Lesão corporal seguida de morte,2022,2,Nao informado,0
Bahia,Lesão corporal seguida de morte,2022,3,Feminino,0
Bahia,Lesão corporal seguida de morte,2022,3,Masculino,5
Bahia,Lesão corporal seguida de morte,2022,3,Nao informado,0
Bahia,Lesão corporal seguida de morte,2022,4,Feminino,0
Bahia,Lesão corporal seguida de morte,2022,4,Masculino,5
Bahia,Lesão corporal seguida de morte,2022,4,Nao informado,0
Bahia,Lesão corporal seguida de morte,2022,5,Feminino,0
Bahia,Lesão corporal seguida de morte,2022,5,Masculino,4
Bahia,Lesão corporal seguida de morte,2022,5,Nao informado,0
Bahia,Lesão corporal seguida de morte,2022,6,Feminino,0
Bahia,Lesão corporal seguida de morte,2022,6,Masculino,10
Bahia,Lesão corporal seguida de morte,2022,6,Nao informado,0
Bahia,Lesão corporal seguida de morte,2022,7,Feminino,0
Bahia,Lesão corporal seguida de morte,2022,7,Masculino,1
Bahia,Lesão corporal seguida de morte,2022,7,Nao informado,0
Bahia,Lesão corporal seguida de morte,2022,8,Feminino,1
Bahia,Lesão corporal seguida de morte,2022,8,Masculino,5
Bahia,Lesão corporal seguida de morte,2022,8,Nao informado,0
Bahia,Lesão corporal seguida de morte,2022,9,Feminino,0
Bahia,Lesão corporal seguida de morte,2022,9,Masculino,4
Bahia,Lesão corporal seguida de morte,2022,9,Nao informado,0
Bahia,Lesão corporal seguida de morte,2022,10,Feminino,0
Bahia,Lesão corporal seguida de morte,2022,10,Masculino,3
Bahia,Lesão corporal seguida de morte,2022,10,Nao informado,0
Bahia,Lesão corporal seguida de morte,2022,11,Feminino,1
Bahia,Lesão corporal seguida de morte,2022,11,Masculino,7
Bahia,Lesão corporal seguida de morte,2022,11,Nao informado,0
Bahia,Lesão corporal seguida de morte,2022,12,Feminino,0
Bahia,Lesão corporal seguida de morte,2022,12,Masculino,3
Bahia,Lesão corporal seguida de morte,2022,12,Nao informado,0
Bahia,Roubo seguido de morte (latrocínio),2022,1,Feminino,0
Bahia,Roubo seguido de morte (latrocínio),2022,1,Masculino,4
Bahia,Roubo seguido de morte (latrocínio),2022,1,Nao informado,0
Bahia,Roubo seguido de morte (latrocínio),2022,2,Feminino,1
Bahia,Roubo seguido de morte (latrocínio),2022,2,Masculino,7
Bahia,Roubo seguido de morte (latrocínio),2022,2,Nao informado,0
Bahia,Roubo seguido de morte (latrocínio),2022,3,Feminino,0
Bahia,Roubo seguido de morte (latrocínio),2022,3,Masculino,5
Bahia,Roubo seguido de morte (latrocínio),2022,3,Nao informado,0
Bahia,Roubo seguido de morte (latrocínio),2022,4,Feminino,1
Bahia,Roubo seguido de morte (latrocínio),2022,4,Masculino,7
Bahia,Roubo seguido de morte (latrocínio),2022,4,Nao informado,0
Bahia,Roubo seguido de morte (latrocínio),2022,5,Feminino,1
Bahia,Roubo seguido de morte (latrocínio),2022,5,Masculino,4
Bahia,Roubo seguido de morte (latrocínio),2022,5,Nao informado,0
Bahia,Roubo seguido de morte (latrocínio),2022,6,Feminino,1
Bahia,Roubo seguido de morte (latrocínio),2022,6,Masculino,11
Bahia,Roubo seguido de morte (latrocínio),2022,6,Nao informado,0
Bahia,Roubo seguido de morte (latrocínio),2022,7,Feminino,1
Bahia,Roubo seguido de morte (latrocínio),2022,7,Masculino,5
Bahia,Roubo seguido de morte (latrocínio),2022,7,Nao informado,0
Bahia,Roubo seguido de morte (latrocínio),2022,8,Feminino,1
Bahia,Roubo seguido de morte (latrocínio),2022,8,Masculino,5
Bahia,Roubo seguido de morte (latrocínio),2022,8,Nao informado,0
Bahia,Roubo seguido de morte (latrocínio),2022,9,Feminino,2
Bahia,Roubo seguido de morte (latrocínio),2022,9,Masculino,5
Bahia,Roubo seguido de morte (latrocínio),2022,9,Nao informado,0
Bahia,Roubo seguido de morte (latrocínio),2022,10,Feminino,1
Bahia,Roubo seguido de morte (latrocínio),2022,10,Masculino,8
Bahia,Roubo seguido de morte (latrocínio),2022,10,Nao informado,0
Bahia,Roubo seguido de morte (latrocínio),2022,11,Feminino,0
Bahia,Roubo seguido de morte (latrocínio),2022,11,Masculino,5
Bahia,Roubo seguido de morte (latrocínio),2022,11,Nao informado,0
Bahia,Roubo seguido de morte (latrocínio),2022,12,Feminino,2
Bahia,Roubo seguido de morte (latrocínio),2022,12,Masculino,8
Bahia,Roubo seguido de morte (latrocínio),2022,12,Nao informado,0
Ceará,Homicídio doloso,2022,1,Feminino,17
Ceará,Homicídio doloso,2022,1,Masculino,225
